"to","from","points"
"CYP","CYP",0
"POL","CYP",0
"ISR","CYP",0
"UKR","CYP",0
"DEU","CYP",0
"ESP","CYP",0
"PRT","CZE",8
"BGR","CZE",12
"MDA","CZE",5
"BEL","CZE",4
"SWE","CZE",0
"ITA","CZE",1
"ROU","CZE",6
"HUN","CZE",0
"AUS","CZE",0
"NOR","CZE",0
"NLD","CZE",0
"FRA","CZE",0
"HRV","CZE",0
"AZE","CZE",10
"GBR","CZE",0
"AUT","CZE",0
"BLR","CZE",3
"ARM","CZE",2
"GRC","CZE",0
"DNK","CZE",0
"CYP","CZE",0
"POL","CZE",0
"ISR","CZE",0
"UKR","CZE",7
"DEU","CZE",0
"ESP","CZE",0
"PRT","DNK",5
"BGR","DNK",10
"MDA","DNK",8
"BEL","DNK",6
"SWE","DNK",12
"ITA","DNK",0
"ROU","DNK",4
"HUN","DNK",3
"AUS","DNK",2
"NOR","DNK",7
"NLD","DNK",1
"FRA","DNK",0
"HRV","DNK",0
"AZE","DNK",0
"GBR","DNK",0
"AUT","DNK",0
"BLR","DNK",0
"ARM","DNK",0
"GRC","DNK",0
"DNK","DNK",0
"CYP","DNK",0
"POL","DNK",0
"ISR","DNK",0
"UKR","DNK",0
"DEU","DNK",0
"ESP","DNK",0
"PRT","EST",10
"BGR","EST",7
"MDA","EST",4
"BEL","EST",12
"SWE","EST",3
"ITA","EST",5
"ROU","EST",6
"HUN","EST",8
"AUS","EST",0
"NOR","EST",0
"NLD","EST",0
"FRA","EST",1
"HRV","EST",0
"AZE","EST",0
"GBR","EST",0
"AUT","EST",0
"BLR","EST",2
"ARM","EST",0
"GRC","EST",0
"DNK","EST",0
"CYP","EST",0
"POL","EST",0
"ISR","EST",0
"UKR","EST",0
"DEU","EST",0
"ESP","EST",0
"PRT","FIN",12
"BGR","FIN",7
"MDA","FIN",5
"BEL","FIN",10
"SWE","FIN",6
"ITA","FIN",8
"ROU","FIN",3
"HUN","FIN",4
"AUS","FIN",0
"NOR","FIN",2
"NLD","FIN",0
"FRA","FIN",1
"HRV","FIN",0
"AZE","FIN",0
"GBR","FIN",0
"AUT","FIN",0
"BLR","FIN",0
"ARM","FIN",0
"GRC","FIN",0
"DNK","FIN",0
"CYP","FIN",0
"POL","FIN",0
"ISR","FIN",0
"UKR","FIN",0
"DEU","FIN",0
"ESP","FIN",0
"PRT","FRA",12
"BGR","FRA",4
"MDA","FRA",7
"BEL","FRA",8
"SWE","FRA",0
"ITA","FRA",5
"ROU","FRA",10
"HUN","FRA",2
"AUS","FRA",0
"NOR","FRA",0
"NLD","FRA",0
"FRA","FRA",0
"HRV","FRA",0
"AZE","FRA",0
"GBR","FRA",0
"AUT","FRA",0
"BLR","FRA",0
"ARM","FRA",6
"GRC","FRA",0
"DNK","FRA",0
"CYP","FRA",0
"POL","FRA",1
"ISR","FRA",3
"UKR","FRA",0
"DEU","FRA",0
"ESP","FRA",0
"PRT","MKD",7
"BGR","MKD",12
"MDA","MKD",2
"BEL","MKD",4
"SWE","MKD",5
"ITA","MKD",8
"ROU","MKD",0
"HUN","MKD",3
"AUS","MKD",0
"NOR","MKD",0
"NLD","MKD",0
"FRA","MKD",6
"HRV","MKD",10
"AZE","MKD",0
"GBR","MKD",0
"AUT","MKD",0
"BLR","MKD",0
"ARM","MKD",0
"GRC","MKD",0
"DNK","MKD",0
"CYP","MKD",0
"POL","MKD",0
"ISR","MKD",1
"UKR","MKD",0
"DEU","MKD",0
"ESP","MKD",0
"PRT","GEO",8
"BGR","GEO",7
"MDA","GEO",0
"BEL","GEO",0
"SWE","GEO",1
"ITA","GEO",5
"ROU","GEO",0
"HUN","GEO",0
"AUS","GEO",0
"NOR","GEO",0
"NLD","GEO",0
"FRA","GEO",3
"HRV","GEO",0
"AZE","GEO",12
"GBR","GEO",0
"AUT","GEO",0
"BLR","GEO",6
"ARM","GEO",10
"GRC","GEO",0
"DNK","GEO",0
"CYP","GEO",2
"POL","GEO",0
"ISR","GEO",0
"UKR","GEO",4
"DEU","GEO",0
"ESP","GEO",0
"PRT","DEU",12
"BGR","DEU",5
"MDA","DEU",7
"BEL","DEU",10
"SWE","DEU",0
"ITA","DEU",4
"ROU","DEU",6
"HUN","DEU",3
"AUS","DEU",0
"NOR","DEU",0
"NLD","DEU",1
"FRA","DEU",0
"HRV","DEU",8
"AZE","DEU",0
"GBR","DEU",0
"AUT","DEU",0
"BLR","DEU",0
"ARM","DEU",0
"GRC","DEU",0
"DNK","DEU",0
"CYP","DEU",0
"POL","DEU",2
"ISR","DEU",0
"UKR","DEU",0
"DEU","DEU",0
"ESP","DEU",0
"PRT","GRC",8
"BGR","GRC",10
"MDA","GRC",6
"BEL","GRC",5
"SWE","GRC",3
"ITA","GRC",7
"ROU","GRC",1
"HUN","GRC",0
"AUS","GRC",0
"NOR","GRC",0
"NLD","GRC",0
"FRA","GRC",4
"HRV","GRC",0
"AZE","GRC",0
"GBR","GRC",0
"AUT","GRC",0
"BLR","GRC",0
"ARM","GRC",2
"GRC","GRC",0
"DNK","GRC",0
"CYP","GRC",12
"POL","GRC",0
"ISR","GRC",0
"UKR","GRC",0
"DEU","GRC",0
"ESP","GRC",0
"PRT","HUN",7
"BGR","HUN",12
"MDA","HUN",10
"BEL","HUN",8
"SWE","HUN",3
"ITA","HUN",4
"ROU","HUN",6
"HUN","HUN",0
"AUS","HUN",0
"NOR","HUN",0
"NLD","HUN",0
"FRA","HUN",1
"HRV","HUN",5
"AZE","HUN",0
"GBR","HUN",0
"AUT","HUN",0
"BLR","HUN",0
"ARM","HUN",0
"GRC","HUN",0
"DNK","HUN",0
"CYP","HUN",2
"POL","HUN",0
"ISR","HUN",0
"UKR","HUN",0
"DEU","HUN",0
"ESP","HUN",0
"PRT","ISL",12
"BGR","ISL",4
"MDA","ISL",6
"BEL","ISL",10
"SWE","ISL",8
"ITA","ISL",7
"ROU","ISL",5
"HUN","ISL",2
"AUS","ISL",0
"NOR","ISL",1
"NLD","ISL",0
"FRA","ISL",0
"HRV","ISL",0
"AZE","ISL",0
"GBR","ISL",0
"AUT","ISL",0
"BLR","ISL",0
"ARM","ISL",0
"GRC","ISL",0
"DNK","ISL",0
"CYP","ISL",0
"POL","ISL",3
"ISR","ISL",0
"UKR","ISL",0
"DEU","ISL",0
"ESP","ISL",0
"PRT","IRL",10
"BGR","IRL",6
"MDA","IRL",8
"BEL","IRL",5
"SWE","IRL",0
"ITA","IRL",1
"ROU","IRL",12
"HUN","IRL",2
"AUS","IRL",0
"NOR","IRL",0
"NLD","IRL",0
"FRA","IRL",0
"HRV","IRL",3
"AZE","IRL",0
"GBR","IRL",4
"AUT","IRL",0
"BLR","IRL",0
"ARM","IRL",0
"GRC","IRL",0
"DNK","IRL",0
"CYP","IRL",0
"POL","IRL",7
"ISR","IRL",0
"UKR","IRL",0
"DEU","IRL",0
"ESP","IRL",0
"PRT","ISR",12
"BGR","ISR",10
"MDA","ISR",5
"BEL","ISR",6
"SWE","ISR",3
"ITA","ISR",8
"ROU","ISR",7
"HUN","ISR",1
"AUS","ISR",0
"NOR","ISR",0
"NLD","ISR",0
"FRA","ISR",4
"HRV","ISR",0
"AZE","ISR",0
"GBR","ISR",0
"AUT","ISR",0
"BLR","ISR",2
"ARM","ISR",0
"GRC","ISR",0
"DNK","ISR",0
